,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
0,2016-01-01,0.283,528053698175.0,1.348,0.0684,0.00204,0.966,250428.0,9164.0,8147466230776.0
1,2016-01-02,0.28,544840649374.0,1.32,0.0679,0.00206,0.981,363640.0,9258.0,8312405051132.0
2,2016-01-03,0.283,541290799401.0,1.238,0.0751,0.00219,0.972,149848.0,9474.0,8334160179746.0
3,2016-01-04,0.281,548861090240.0,,0.206,0.00358,0.975,1010627.0,16430.0,8305862081374.0
4,2016-01-05,0.283,552182610632.0,,0.231,0.0038,0.974,255146.0,17074.0,8422692292474.0
5,2016-01-06,0.289,526218703270.0,,0.231,0.00295,0.995,348385.0,22075.0,8210108041818.0
6,2016-01-07,0.278,550687942230.0,1.089,0.0898,0.00236,0.991,194488.0,10919.0,8302400427732.0
7,2016-01-08,0.282,551657034472.0,1.097,0.137,0.00354,1.062,223945.0,11793.0,8432800952952.0
8,2016-01-09,0.283,537946675624.0,1.28,0.0933,0.00276,1.084,152679.0,10320.0,8336741119272.0
9,2016-01-10,0.282,561657576052.0,1.222,0.0918,0.00247,1.054,532027.0,10893.0,8828185121710.0
10,2016-01-11,0.292,541092686637.0,1.504,0.0965,0.00277,1.176,1164713.0,10862.0,8889943291452.0
11,2016-01-12,0.288,530560897082.0,,0.217,0.00386,1.13,478086.0,17665.0,8483670874692.0
12,2016-01-13,0.283,553750991919.0,1.264,0.0966,0.00287,1.14,379036.0,10653.0,8735311016259.0
13,2016-01-14,0.283,567139411682.0,1.726,0.0842,0.00291,1.241,1173188.0,9875.0,8996159875428.0
14,2016-01-15,0.285,574085617131.0,1.603,0.0831,0.00264,1.241,709038.0,10664.0,9202357320653.0
15,2016-01-16,0.286,568321719087.0,1.607,0.0622,0.00216,1.235,458320.0,9747.0,9068025912262.0
16,2016-01-17,0.284,591499464715.0,1.517,0.113,0.0034,1.421,3220734.0,12916.0,9453949920663.0
17,2016-01-18,0.29,584880064828.0,0.724,0.132,0.00364,1.373,1703140.0,13420.0,9538638577308.0
18,2016-01-19,0.286,588126075577.0,2.3,0.0697,0.00263,1.465,879469.0,10610.0,9413915812865.0
19,2016-01-20,0.29,584138167496.0,2.096,0.0757,0.00289,1.526,755467.0,10734.0,9598498035045.0
20,2016-01-21,0.288,610658435633.0,1.566,0.115,0.00342,1.519,1395971.0,13848.0,9897015391775.0
21,2016-01-22,0.292,608804210103.0,2.43,0.0657,0.00275,1.742,1992465.0,11025.0,10058506402712.0
22,2016-01-23,0.279,650658976677.0,2.787,0.0845,0.00397,2.143,4115074.0,12798.0,10133271762313.0
23,2016-01-24,0.295,624622219811.0,2.306,0.152,0.0054,2.3,4919856.0,17121.0,10330115760968.0
24,2016-01-25,0.28,673085445474.0,2.743,0.137,0.00593,2.583,3732659.0,16511.0,10610740377311.0
25,2016-01-26,0.289,663597075386.0,0.789,0.21,0.00728,2.402,2921558.0,18747.0,10820104860440.0
26,2016-01-27,0.285,652271801201.0,2.485,0.151,0.00614,2.489,2294755.0,16765.0,10448729611759.0
27,2016-01-28,0.289,670039338114.0,2.617,0.139,0.00572,2.508,2165378.0,16395.0,10883144596127.0
28,2016-01-29,0.287,668791594515.0,2.862,0.129,0.00609,2.521,2495963.0,14661.0,10876076582573.0
29,2016-01-30,0.296,646688845759.0,2.825,0.127,0.00571,2.387,2614177.0,14166.0,10695941618405.0
30,2016-01-31,0.287,679240541887.0,2.481,0.117,0.00509,2.222,1333333.0,14199.0,10917496712104.0
31,2016-02-01,0.291,648634013329.0,2.417,0.11,0.00461,2.237,1385400.0,14291.0,10674149809000.0
32,2016-02-02,0.277,696796696967.0,2.857,0.0984,0.00472,2.428,1506224.0,14274.0,10857187473955.0
33,2016-02-03,0.284,694226017950.0,2.824,0.118,0.00577,2.535,836410.0,14371.0,11113782318764.0
